Id,Id2,Geography,totpop
1400000US26049011712,26049011712,"Census Tract 117.12, Genesee County, Michigan",2956
1400000US26049011713,26049011713,"Census Tract 117.13, Genesee County, Michigan",3641
1400000US26049011714,26049011714,"Census Tract 117.14, Genesee County, Michigan",3190
1400000US26049011800,26049011800,"Census Tract 118, Genesee County, Michigan",3162
1400000US26049011901,26049011901,"Census Tract 119.01, Genesee County, Michigan",2523
1400000US26049011902,26049011902,"Census Tract 119.02, Genesee County, Michigan",3045
1400000US26049012003,26049012003,"Census Tract 120.03, Genesee County, Michigan",3167
1400000US26049012006,26049012006,"Census Tract 120.06, Genesee County, Michigan",2648
1400000US26049012007,26049012007,"Census Tract 120.07, Genesee County, Michigan",1633
1400000US26049012008,26049012008,"Census Tract 120.08, Genesee County, Michigan",3045
1400000US26049012009,26049012009,"Census Tract 120.09, Genesee County, Michigan",2603
1400000US26049012100,26049012100,"Census Tract 121, Genesee County, Michigan",2506
1400000US26049012201,26049012201,"Census Tract 122.01, Genesee County, Michigan",2528
1400000US26049012202,26049012202,"Census Tract 122.02, Genesee County, Michigan",1441
1400000US26049012310,26049012310,"Census Tract 123.10, Genesee County, Michigan",3086
1400000US26049012311,26049012311,"Census Tract 123.11, Genesee County, Michigan",2010
1400000US26049012401,26049012401,"Census Tract 124.01, Genesee County, Michigan",1905
1400000US26049012402,26049012402,"Census Tract 124.02, Genesee County, Michigan",2797
1400000US26049012501,26049012501,"Census Tract 125.01, Genesee County, Michigan",2033
1400000US26049012503,26049012503,"Census Tract 125.03, Genesee County, Michigan",2933
1400000US26049012504,26049012504,"Census Tract 125.04, Genesee County, Michigan",2083
1400000US26049012601,26049012601,"Census Tract 126.01, Genesee County, Michigan",3026
1400000US26049012602,26049012602,"Census Tract 126.02, Genesee County, Michigan",1657
1400000US26049012603,26049012603,"Census Tract 126.03, Genesee County, Michigan",3198
1400000US26049012702,26049012702,"Census Tract 127.02, Genesee County, Michigan",5760
1400000US26049012703,26049012703,"Census Tract 127.03, Genesee County, Michigan",3330
1400000US26049012704,26049012704,"Census Tract 127.04, Genesee County, Michigan",4249
1400000US26049012801,26049012801,"Census Tract 128.01, Genesee County, Michigan",4781
1400000US26049012802,26049012802,"Census Tract 128.02, Genesee County, Michigan",2039
1400000US26049012904,26049012904,"Census Tract 129.04, Genesee County, Michigan",6522
1400000US26049012905,26049012905,"Census Tract 129.05, Genesee County, Michigan",3645
1400000US26049012906,26049012906,"Census Tract 129.06, Genesee County, Michigan",2471
1400000US26049012907,26049012907,"Census Tract 129.07, Genesee County, Michigan",2450
1400000US26049013001,26049013001,"Census Tract 130.01, Genesee County, Michigan",2625
1400000US26049013002,26049013002,"Census Tract 130.02, Genesee County, Michigan",4288
1400000US26049013110,26049013110,"Census Tract 131.10, Genesee County, Michigan",2155
1400000US26049013111,26049013111,"Census Tract 131.11, Genesee County, Michigan",2840
1400000US26049013112,26049013112,"Census Tract 131.12, Genesee County, Michigan",4461
1400000US26049013113,26049013113,"Census Tract 131.13, Genesee County, Michigan",3991
1400000US26049013202,26049013202,"Census Tract 132.02, Genesee County, Michigan",5763
1400000US26049013204,26049013204,"Census Tract 132.04, Genesee County, Michigan",5983
1400000US26049013301,26049013301,"Census Tract 133.01, Genesee County, Michigan",6096
1400000US26049013401,26049013401,"Census Tract 134.01, Genesee County, Michigan",6137
1400000US26049013402,26049013402,"Census Tract 134.02, Genesee County, Michigan",1856
1400000US26049013500,26049013500,"Census Tract 135, Genesee County, Michigan",4860
1400000US26049013600,26049013600,"Census Tract 136, Genesee County, Michigan",1562
1400000US26049980000,26049980000,"Census Tract 9800, Genesee County, Michigan",43
1400000US26049980100,26049980100,"Census Tract 9801, Genesee County, Michigan",0
